Triplet #,Anchor,Positive,Negative,Hardness Score
1,"(5, 1, 6, 0)","(5, 1, 3, 5)","(3, 2, 5, 3)",6
2,"(0, 0, 5, 2)","(0, 2, 6, 6)","(5, 0, 0, 4)",3
3,"(1, 0, 5, 1)","(1, 1, 5, 6)","(4, 0, 0, 0)",4
4,"(1, 1, 3, 0)","(1, 2, 1, 6)","(0, 2, 3, 6)",10
5,"(3, 0, 2, 2)","(3, 1, 0, 5)","(5, 0, 4, 4)",6
6,"(0, 1, 0, 2)","(0, 1, 1, 2)","(5, 1, 4, 5)",1
7,"(5, 2, 2, 2)","(5, 0, 4, 0)","(2, 2, 0, 4)",5
8,"(2, 0, 2, 1)","(2, 2, 6, 6)","(4, 0, 6, 5)",9
9,"(1, 0, 3, 1)","(1, 0, 3, 0)","(3, 0, 3, 0)",5
10,"(1, 2, 4, 3)","(1, 2, 5, 5)","(2, 2, 1, 3)",6
11,"(4, 1, 5, 5)","(4, 2, 6, 0)","(1, 1, 1, 3)",5
12,"(4, 1, 4, 1)","(4, 2, 0, 5)","(2, 2, 1, 5)",9
13,"(4, 1, 2, 2)","(4, 0, 2, 3)","(3, 0, 3, 0)",7
14,"(5, 1, 4, 6)","(5, 1, 6, 2)","(3, 2, 2, 4)",5
15,"(1, 2, 5, 1)","(1, 2, 5, 4)","(2, 2, 6, 6)",5
16,"(5, 1, 1, 3)","(5, 2, 1, 5)","(3, 2, 5, 0)",6
17,"(5, 0, 4, 4)","(5, 0, 1, 1)","(2, 1, 1, 1)",7
18,"(3, 2, 5, 4)","(3, 1, 4, 6)","(4, 1, 3, 4)",8
19,"(3, 1, 0, 4)","(3, 1, 1, 1)","(2, 0, 3, 0)",6
20,"(3, 0, 1, 0)","(3, 0, 3, 3)","(4, 1, 2, 0)",7
21,"(2, 0, 2, 6)","(2, 2, 6, 3)","(3, 0, 1, 3)",9
22,"(4, 0, 3, 3)","(4, 1, 6, 3)","(3, 0, 0, 1)",6
23,"(3, 2, 0, 3)","(3, 2, 2, 0)","(2, 2, 6, 5)",6
24,"(2, 2, 5, 4)","(2, 1, 4, 6)","(4, 2, 2, 4)",6
25,"(0, 0, 3, 3)","(0, 1, 4, 3)","(2, 0, 6, 6)",5
26,"(4, 1, 1, 3)","(4, 1, 6, 5)","(0, 1, 3, 4)",4
27,"(5, 2, 4, 3)","(5, 1, 1, 6)","(3, 0, 0, 4)",6
28,"(0, 1, 3, 5)","(0, 0, 1, 3)","(1, 1, 3, 0)",8
29,"(5, 2, 5, 5)","(5, 1, 6, 2)","(0, 2, 6, 4)",2
30,"(3, 0, 6, 2)","(3, 2, 2, 5)","(5, 0, 3, 4)",7
31,"(3, 1, 6, 4)","(3, 1, 4, 0)","(1, 0, 0, 1)",5
32,"(0, 2, 2, 0)","(0, 1, 2, 5)","(5, 2, 4, 1)",2
33,"(5, 1, 3, 2)","(5, 0, 0, 6)","(1, 1, 3, 1)",5
34,"(0, 1, 1, 6)","(0, 2, 2, 4)","(1, 1, 5, 1)",7
35,"(2, 2, 1, 2)","(2, 1, 4, 3)","(5, 1, 3, 0)",7
36,"(4, 2, 3, 0)","(4, 0, 5, 6)","(2, 1, 6, 1)",6
37,"(4, 0, 6, 5)","(4, 0, 4, 1)","(5, 0, 5, 0)",7
38,"(0, 1, 6, 4)","(0, 2, 5, 0)","(1, 0, 4, 2)",7
39,"(0, 1, 5, 0)","(0, 1, 1, 5)","(2, 2, 2, 0)",6
40,"(4, 0, 0, 0)","(4, 2, 3, 1)","(5, 0, 5, 5)",7
41,"(0, 2, 6, 6)","(0, 2, 5, 1)","(4, 0, 0, 2)",3
42,"(5, 0, 0, 1)","(5, 2, 2, 2)","(0, 1, 6, 4)",3
43,"(2, 2, 2, 2)","(2, 1, 4, 1)","(1, 0, 0, 4)",7
44,"(1, 0, 0, 3)","(1, 2, 3, 1)","(3, 2, 1, 4)",8
45,"(2, 0, 4, 1)","(2, 0, 4, 1)","(3, 0, 6, 4)",4
46,"(1, 1, 3, 6)","(1, 1, 1, 4)","(5, 2, 3, 5)",4
47,"(0, 1, 6, 1)","(0, 1, 3, 5)","(1, 2, 4, 4)",7
48,"(1, 1, 4, 3)","(1, 1, 0, 4)","(4, 2, 5, 3)",5
49,"(4, 1, 0, 5)","(4, 0, 4, 5)","(0, 0, 5, 4)",4
50,"(1, 1, 1, 3)","(1, 1, 2, 6)","(5, 1, 2, 4)",2
51,"(2, 2, 3, 6)","(2, 1, 4, 0)","(4, 0, 3, 0)",8
52,"(5, 2, 6, 0)","(5, 2, 2, 5)","(0, 0, 5, 2)",3
53,"(3, 1, 2, 6)","(3, 1, 1, 6)","(1, 1, 3, 3)",4
54,"(0, 2, 3, 2)","(0, 2, 2, 6)","(5, 0, 0, 3)",2
55,"(2, 0, 0, 6)","(2, 1, 0, 2)","(1, 2, 6, 2)",7
56,"(2, 2, 5, 4)","(2, 0, 4, 2)","(4, 0, 1, 6)",7
57,"(4, 2, 5, 5)","(4, 0, 1, 4)","(2, 2, 5, 6)",7
58,"(3, 1, 0, 5)","(3, 1, 4, 5)","(2, 1, 6, 6)",5
59,"(3, 1, 4, 3)","(3, 2, 6, 1)","(4, 0, 5, 6)",8
60,"(2, 0, 3, 6)","(2, 0, 5, 0)","(0, 1, 2, 5)",6
61,"(3, 0, 3, 2)","(3, 0, 5, 6)","(5, 2, 3, 2)",6
62,"(4, 2, 4, 5)","(4, 1, 6, 5)","(5, 2, 6, 6)",8
63,"(1, 0, 5, 1)","(1, 0, 4, 1)","(0, 0, 0, 5)",5
64,"(0, 0, 2, 1)","(0, 1, 3, 0)","(4, 1, 2, 1)",6
65,"(3, 1, 1, 2)","(3, 0, 5, 5)","(1, 2, 1, 3)",7
66,"(4, 2, 3, 3)","(4, 2, 3, 6)","(3, 2, 3, 5)",5
67,"(4, 1, 3, 4)","(4, 2, 1, 5)","(2, 1, 0, 5)",7
68,"(1, 0, 5, 2)","(1, 2, 6, 1)","(0, 1, 6, 6)",6
69,"(2, 0, 3, 0)","(2, 1, 5, 1)","(3, 0, 4, 1)",9
70,"(2, 1, 6, 3)","(2, 2, 6, 4)","(1, 0, 3, 5)",6
71,"(2, 2, 2, 1)","(2, 0, 5, 1)","(4, 2, 0, 3)",6
72,"(5, 1, 1, 2)","(5, 2, 2, 1)","(4, 2, 1, 2)",9
73,"(2, 0, 5, 1)","(2, 2, 0, 1)","(3, 2, 3, 0)",8
74,"(1, 0, 6, 2)","(1, 2, 3, 6)","(0, 0, 5, 0)",8
75,"(1, 1, 4, 4)","(1, 1, 5, 1)","(3, 0, 2, 3)",5
76,"(2, 0, 1, 4)","(2, 1, 1, 2)","(1, 1, 2, 0)",7
77,"(1, 2, 1, 1)","(1, 0, 5, 3)","(3, 2, 6, 6)",6
78,"(1, 2, 1, 4)","(1, 0, 3, 5)","(0, 1, 2, 6)",8
79,"(0, 2, 6, 2)","(0, 2, 1, 5)","(3, 2, 0, 3)",4
80,"(3, 2, 3, 5)","(3, 2, 1, 2)","(2, 0, 5, 6)",6
81,"(2, 2, 4, 2)","(2, 0, 2, 3)","(1, 1, 4, 4)",8
82,"(1, 1, 0, 1)","(1, 2, 1, 5)","(3, 1, 6, 3)",6
83,"(5, 2, 4, 3)","(5, 2, 2, 0)","(1, 0, 2, 3)",5
84,"(3, 2, 1, 3)","(3, 0, 2, 0)","(2, 0, 6, 2)",8
85,"(2, 2, 1, 6)","(2, 2, 5, 3)","(4, 1, 4, 5)",6
86,"(1, 0, 0, 0)","(1, 1, 4, 4)","(5, 0, 2, 0)",5
