Triplet_ID,Anchor,Positive,Negative,Hardness Score
1,Fleece_wind3_b0.001_m0.5_1.avi,Bro_wind1_b0.001_m0.5_1.avi,Silk_wind2_b1_m1.7_1.avi,5
2,Cotton_wind1_b0.01_m0.5_1.avi,FeltGreen_wind1_b0.01_m1.3_1.avi,Silk_wind3_b0.001_m0.5_1.avi,7
3,Fleece_wind1_b100_m0.3_1.avi,Cotton_wind1_b100_m0.1_1.avi,Sweater_wind3_b1_m0.1_1.avi,4
4,FeltGreen_wind3_b1_m1.3_1.avi,Silk_wind1_b1_m1.3_1.avi,Sha_wind2_b0.001_m1.7_1.avi,2
5,Sweater_wind1_b0.01_m0.7_1.avi,Cotton_wind2_b0.01_m1_1.avi,FeltGreen_wind3_b0.1_m0.5_1.avi,4
6,FeltGreen_wind1_b0.1_m0.1_1.avi,Sweater_wind3_b0.1_m1.3_1.avi,Cotton_wind3_b1_m0.3_1.avi,5
7,Silk_wind3_b10_m0.3_1.avi,Sweater_wind2_b10_m1.7_1.avi,Sha_wind2_b1_m0.3_1.avi,9
8,Cotton_wind2_b10_m0.7_1.avi,Fleece_wind2_b10_m1.3_1.avi,Bro_wind3_b100_m0.5_1.avi,3
9,Sweater_wind3_b0.001_m0.3_1.avi,Cotton_wind2_b0.001_m0.5_1.avi,Bro_wind1_b0.1_m1.7_1.avi,7
10,Sha_wind2_b0.01_m0.7_1.avi,Sha_wind3_b0.01_m1_1.avi,Cotton_wind1_b0.001_m1_1.avi,5
11,Sha_wind3_b100_m1.7_1.avi,Cotton_wind1_b100_m0.3_1.avi,Silk_wind3_b1_m0.1_1.avi,6
12,Bro_wind1_b0.1_m1.3_1.avi,Silk_wind2_b0.1_m1.7_1.avi,Cotton_wind2_b1_m1.3_1.avi,5
13,Sha_wind3_b0.001_m1_1.avi,Cotton_wind3_b0.001_m0.7_1.avi,Bro_wind3_b100_m1_1.avi,4
14,Cotton_wind2_b0.001_m1.7_1.avi,Sweater_wind3_b0.001_m0.1_1.avi,Cotton_wind3_b1_m1.7_1.avi,8
15,Sha_wind2_b0.001_m1_1.avi,Fleece_wind2_b0.001_m0.3_1.avi,Bro_wind3_b0.01_m1.7_1.avi,2
16,Fleece_wind3_b0.001_m0.3_1.avi,Fleece_wind2_b0.001_m1.3_1.avi,Cotton_wind1_b0.01_m1_1.avi,3
17,Bro_wind1_b0.1_m0.1_1.avi,FeltGreen_wind2_b0.1_m0.5_1.avi,Fleece_wind1_b0.01_m0.7_1.avi,7
18,Cotton_wind1_b0.001_m1.3_1.avi,FeltGreen_wind3_b0.001_m0.1_1.avi,Silk_wind2_b0.01_m0.7_1.avi,4
19,Sweater_wind2_b100_m0.1_1.avi,Fleece_wind1_b100_m0.7_1.avi,Cotton_wind2_b0.1_m1.3_1.avi,3
20,Sweater_wind1_b10_m0.7_1.avi,FeltGreen_wind2_b10_m0.5_1.avi,Bro_wind1_b0.01_m1.7_1.avi,3
