Triplet_ID,Anchor,Positive,Negative,Hardness Score
1,Fleece_wind2_b0.01_m1.3_1.avi,Cotton_wind2_b0.01_m0.5_1.avi,Sweater_wind3_b10_m0.5_1.avi,4
2,Bro_wind2_b0.001_m1.3_1.avi,Cotton_wind2_b0.001_m1_1.avi,Bro_wind2_b1_m0.7_1.avi,5
3,Sha_wind3_b0.01_m0.7_1.avi,Silk_wind2_b0.01_m0.5_1.avi,FeltGreen_wind3_b1_m1_1.avi,7
4,Cotton_wind1_b100_m0.3_1.avi,Silk_wind1_b100_m0.1_1.avi,Sweater_wind3_b0.1_m0.1_1.avi,1
5,Cotton_wind3_b0.001_m1_1.avi,Bro_wind3_b0.001_m1_1.avi,Fleece_wind1_b0.01_m1.7_1.avi,1
6,Fleece_wind1_b10_m0.7_1.avi,FeltGreen_wind2_b10_m0.1_1.avi,Bro_wind2_b0.01_m1.7_1.avi,4
7,Fleece_wind3_b0.1_m1.7_1.avi,Bro_wind1_b0.1_m0.3_1.avi,Cotton_wind1_b10_m1_1.avi,9
8,Silk_wind3_b0.001_m1_1.avi,FeltGreen_wind2_b0.001_m1.7_1.avi,Sha_wind2_b10_m1_1.avi,7
9,FeltGreen_wind3_b0.1_m1.7_1.avi,Sweater_wind2_b0.1_m0.3_1.avi,Cotton_wind1_b0.001_m0.3_1.avi,5
10,Sha_wind1_b0.1_m1_1.avi,Silk_wind2_b0.1_m1.7_1.avi,FeltGreen_wind1_b100_m1.7_1.avi,5
11,Bro_wind1_b10_m1.3_1.avi,Sha_wind1_b10_m0.5_1.avi,FeltGreen_wind2_b1_m1.7_1.avi,7
12,FeltGreen_wind3_b100_m0.7_1.avi,FeltGreen_wind2_b100_m0.5_1.avi,FeltGreen_wind3_b10_m0.5_1.avi,5
13,Sha_wind1_b0.01_m0.1_1.avi,Sha_wind1_b0.01_m0.3_1.avi,Bro_wind2_b0.001_m0.5_1.avi,5
14,Sweater_wind2_b0.01_m0.5_1.avi,Fleece_wind1_b0.01_m1.7_1.avi,Cotton_wind3_b100_m1.3_1.avi,6
15,Bro_wind2_b1_m1_1.avi,Cotton_wind2_b1_m0.7_1.avi,Sweater_wind1_b10_m1.7_1.avi,2
16,Silk_wind3_b0.1_m0.5_1.avi,Sha_wind3_b0.1_m0.3_1.avi,Cotton_wind3_b0.001_m0.7_1.avi,6
17,Silk_wind2_b100_m0.7_1.avi,Sha_wind2_b100_m1.7_1.avi,Silk_wind3_b10_m0.5_1.avi,7
18,Sha_wind2_b10_m1_1.avi,FeltGreen_wind1_b10_m0.5_1.avi,FeltGreen_wind1_b0.001_m0.5_1.avi,6
19,Cotton_wind3_b100_m0.3_1.avi,FeltGreen_wind2_b100_m0.1_1.avi,Cotton_wind3_b10_m0.1_1.avi,6
20,Sweater_wind2_b0.1_m0.7_1.avi,Sha_wind2_b0.1_m0.3_1.avi,Silk_wind1_b10_m1.7_1.avi,6
21,Sha_wind2_b0.001_m1_1.avi,Sha_wind3_b0.001_m1.7_1.avi,Bro_wind2_b1_m1.7_1.avi,4
22,Silk_wind2_b100_m1.3_1.avi,Bro_wind2_b100_m1_1.avi,Sweater_wind1_b0.001_m0.7_1.avi,3
23,Sweater_wind2_b0.001_m0.1_1.avi,Fleece_wind3_b0.001_m0.1_1.avi,Sha_wind1_b1_m0.5_1.avi,5
24,Fleece_wind2_b10_m1_1.avi,FeltGreen_wind2_b10_m0.1_1.avi,Sha_wind3_b0.01_m1.3_1.avi,3
25,Silk_wind1_b0.01_m1.3_1.avi,Sweater_wind3_b0.01_m0.7_1.avi,FeltGreen_wind1_b0.1_m0.5_1.avi,3
26,Bro_wind2_b0.01_m0.7_1.avi,Sweater_wind1_b0.01_m0.1_1.avi,Silk_wind1_b0.001_m1_1.avi,9
27,Sweater_wind1_b10_m1.7_1.avi,FeltGreen_wind1_b10_m0.1_1.avi,Sweater_wind1_b0.01_m0.5_1.avi,3
28,Fleece_wind1_b10_m1.7_1.avi,Sha_wind3_b10_m1.7_1.avi,Sha_wind3_b1_m0.1_1.avi,8
29,Fleece_wind2_b1_m1_1.avi,Sha_wind1_b1_m1.3_1.avi,Bro_wind3_b0.01_m1.7_1.avi,6
