Triplet #,Anchor,Positive,Negative,Hardness Score
1,Fleece_wind2_b1_m1.7_1.mp4,Sha_wind3_b1_m1.7_1.mp4,Fleece_wind1_b10_m1.7_1.mp4,2
2,Cotton_wind1_b100_m1.7_1.mp4,Cotton_wind2_b100_m1.3_1.mp4,FeltGreen_wind1_b1_m0.5_1.mp4,5
3,Cotton_wind3_b10_m0.1_1.mp4,Sweater_wind2_b10_m0.1_1.mp4,Fleece_wind2_b0.01_m0.1_1.mp4,3
4,Cotton_wind3_b10_m0.7_1.mp4,Fleece_wind3_b10_m0.1_1.mp4,Silk_wind3_b0.1_m0.5_1.mp4,6
5,Bro_wind3_b100_m1.7_1.mp4,Bro_wind2_b100_m1.7_1.mp4,Cotton_wind3_b0.01_m0.7_1.mp4,3
6,Sweater_wind3_b0.001_m0.7_1.mp4,Fleece_wind3_b0.001_m0.3_1.mp4,Bro_wind2_b10_m0.1_1.mp4,4
7,Fleece_wind1_b0.01_m1.3_1.mp4,Fleece_wind2_b0.01_m1.3_1.mp4,FeltGreen_wind3_b0.1_m1.3_1.mp4,1
8,Fleece_wind3_b1_m0.5_1.mp4,Sweater_wind3_b1_m0.5_1.mp4,Sha_wind2_b0.1_m0.5_1.mp4,5
9,Cotton_wind2_b1_m1.7_1.mp4,Sha_wind3_b1_m1.7_1.mp4,FeltGreen_wind3_b0.1_m1.7_1.mp4,7
10,Cotton_wind2_b0.001_m0.5_1.mp4,Sweater_wind3_b0.001_m0.5_1.mp4,Bro_wind3_b0.1_m0.5_1.mp4,7
11,FeltGreen_wind3_b10_m0.5_1.mp4,Bro_wind3_b10_m1.7_1.mp4,Sha_wind3_b100_m0.1_1.mp4,3
12,Bro_wind1_b1_m0.1_1.mp4,Sha_wind1_b1_m0.1_1.mp4,Cotton_wind3_b10_m1.7_1.mp4,1
13,Sweater_wind2_b100_m1_1.mp4,Cotton_wind2_b100_m1.7_1.mp4,Cotton_wind2_b0.001_m0.7_1.mp4,5
14,Sha_wind2_b0.1_m0.5_1.mp4,Silk_wind1_b0.1_m0.5_1.mp4,Fleece_wind1_b10_m0.5_1.mp4,7
15,Sha_wind1_b10_m1_1.mp4,Fleece_wind2_b10_m0.5_1.mp4,Silk_wind1_b0.01_m0.5_1.mp4,2
16,Fleece_wind2_b10_m1_1.mp4,Bro_wind2_b10_m0.5_1.mp4,Sha_wind2_b0.1_m0.5_1.mp4,4
17,Sha_wind1_b0.001_m0.1_1.mp4,Fleece_wind2_b0.001_m0.5_1.mp4,Sha_wind2_b100_m1_1.mp4,5
18,Sweater_wind1_b0.001_m0.7_1.mp4,Fleece_wind1_b0.001_m0.3_1.mp4,Fleece_wind1_b100_m1.7_1.mp4,4
19,Cotton_wind1_b1_m0.7_1.mp4,Fleece_wind3_b1_m0.3_1.mp4,Cotton_wind2_b0.1_m1.3_1.mp4,7
20,Cotton_wind1_b10_m0.7_1.mp4,Sweater_wind1_b10_m0.7_1.mp4,FeltGreen_wind2_b1_m0.7_1.mp4,5
21,Silk_wind3_b0.001_m0.5_1.mp4,Bro_wind1_b0.001_m0.5_1.mp4,Silk_wind3_b10_m0.5_1.mp4,4
22,FeltGreen_wind2_b100_m1.3_1.mp4,Sweater_wind2_b100_m1.3_1.mp4,Bro_wind1_b1_m1.3_1.mp4,4
23,FeltGreen_wind3_b100_m1.3_1.mp4,Cotton_wind3_b100_m1.3_1.mp4,Sha_wind3_b0.1_m1.3_1.mp4,1
24,Cotton_wind3_b1_m1.3_1.mp4,FeltGreen_wind3_b1_m1.3_1.mp4,Sweater_wind1_b0.01_m1.3_1.mp4,4
25,FeltGreen_wind2_b0.01_m1.7_1.mp4,Sweater_wind1_b0.01_m1.3_1.mp4,Sweater_wind1_b1_m0.7_1.mp4,9
26,Cotton_wind1_b10_m0.3_1.mp4,Cotton_wind2_b10_m1_1.mp4,Sha_wind3_b100_m1.7_1.mp4,2
27,FeltGreen_wind2_b10_m1.3_1.mp4,Bro_wind2_b10_m1.3_1.mp4,Fleece_wind1_b0.1_m1.3_1.mp4,4
28,Fleece_wind3_b0.1_m1.7_1.mp4,Fleece_wind1_b0.1_m1.7_1.mp4,Cotton_wind2_b100_m1.7_1.mp4,4
29,FeltGreen_wind3_b1_m0.7_1.mp4,Cotton_wind2_b1_m0.7_1.mp4,Bro_wind3_b10_m0.7_1.mp4,2
30,Cotton_wind2_b100_m0.1_1.mp4,FeltGreen_wind2_b100_m0.1_1.mp4,Bro_wind2_b0.01_m0.1_1.mp4,3
31,Sweater_wind2_b0.01_m0.5_1.mp4,Sweater_wind2_b0.01_m0.5_1.mp4,Cotton_wind1_b1_m0.5_1.mp4,4
32,Sha_wind2_b10_m0.7_1.mp4,Cotton_wind1_b10_m0.7_1.mp4,Sweater_wind2_b1_m1.7_1.mp4,6
33,Bro_wind2_b0.001_m0.3_1.mp4,Cotton_wind3_b0.001_m0.3_1.mp4,Silk_wind1_b0.01_m0.3_1.mp4,2
34,Bro_wind1_b10_m1_1.mp4,Silk_wind3_b10_m1_1.mp4,Sha_wind1_b100_m1_1.mp4,2
35,Bro_wind2_b0.001_m0.7_1.mp4,Fleece_wind3_b0.001_m1.3_1.mp4,Sha_wind3_b0.1_m1.3_1.mp4,7
36,Sweater_wind3_b10_m1.3_1.mp4,Cotton_wind3_b10_m0.3_1.mp4,Sweater_wind1_b0.1_m0.1_1.mp4,5
37,FeltGreen_wind2_b1_m0.1_1.mp4,Sweater_wind2_b1_m0.5_1.mp4,Sha_wind2_b0.01_m0.3_1.mp4,6
38,Fleece_wind2_b10_m0.5_1.mp4,Sweater_wind1_b10_m0.5_1.mp4,Fleece_wind2_b100_m0.5_1.mp4,2
39,Bro_wind2_b0.1_m0.5_1.mp4,Cotton_wind3_b0.1_m0.5_1.mp4,Silk_wind1_b100_m0.5_1.mp4,5
40,Silk_wind1_b0.01_m0.5_1.mp4,Cotton_wind1_b0.01_m1_1.mp4,Sweater_wind1_b100_m1.3_1.mp4,4
41,Silk_wind1_b10_m1_1.mp4,Cotton_wind1_b10_m0.1_1.mp4,Cotton_wind2_b0.001_m1_1.mp4,6
42,Fleece_wind2_b1_m0.1_1.mp4,Bro_wind1_b1_m1.3_1.mp4,FeltGreen_wind3_b10_m0.5_1.mp4,4
43,Cotton_wind3_b1_m0.1_1.mp4,Sweater_wind2_b1_m0.1_1.mp4,FeltGreen_wind3_b0.01_m0.1_1.mp4,5
44,Fleece_wind3_b0.001_m1_1.mp4,Fleece_wind3_b0.001_m1_1.mp4,Sweater_wind3_b0.1_m1_1.mp4,4
45,FeltGreen_wind2_b100_m0.1_1.mp4,Silk_wind1_b100_m1.7_1.mp4,Sweater_wind1_b0.001_m1_1.mp4,6
46,Sha_wind2_b10_m0.5_1.mp4,Sweater_wind3_b10_m0.5_1.mp4,Sha_wind2_b1_m0.5_1.mp4,6
47,Cotton_wind2_b10_m0.1_1.mp4,Silk_wind2_b10_m0.1_1.mp4,Sweater_wind1_b1_m0.1_1.mp4,5
48,Silk_wind3_b0.1_m0.7_1.mp4,Silk_wind2_b0.1_m0.7_1.mp4,Silk_wind2_b0.01_m0.7_1.mp4,6
49,Cotton_wind3_b0.1_m1_1.mp4,Silk_wind3_b0.1_m1_1.mp4,Sweater_wind3_b10_m0.5_1.mp4,5
50,Silk_wind1_b10_m0.7_1.mp4,Fleece_wind2_b10_m0.7_1.mp4,Sha_wind1_b100_m0.7_1.mp4,2
