Triplet #,Anchor,Positive,Negative,Hardness Score
1,Sha_wind1_b0.1_m1.7_1.mp4,Sweater_wind3_b0.1_m1_1.mp4,Bro_wind3_b0.001_m0.1_1.mp4,7
2,Silk_wind2_b1_m0.7_1.mp4,FeltGreen_wind3_b1_m0.7_1.mp4,Silk_wind1_b0.01_m0.7_1.mp4,5
3,FeltGreen_wind3_b0.001_m1.7_1.mp4,Sweater_wind1_b0.001_m1.7_1.mp4,FeltGreen_wind2_b0.1_m1.7_1.mp4,6
4,Cotton_wind1_b0.01_m1_1.mp4,Sha_wind1_b0.01_m1_1.mp4,Sweater_wind3_b0.001_m1_1.mp4,5
5,Silk_wind3_b100_m0.1_1.mp4,Bro_wind1_b100_m0.1_1.mp4,Fleece_wind3_b0.001_m0.1_1.mp4,3
6,Cotton_wind3_b0.01_m1.7_1.mp4,Sha_wind1_b0.01_m1.7_1.mp4,FeltGreen_wind1_b1_m1.7_1.mp4,7
7,Fleece_wind1_b100_m0.3_1.mp4,FeltGreen_wind1_b100_m0.1_1.mp4,Sha_wind1_b0.001_m0.7_1.mp4,3
8,Fleece_wind2_b1_m0.5_1.mp4,Sweater_wind2_b1_m0.5_1.mp4,Bro_wind1_b0.001_m0.5_1.mp4,1
9,Sweater_wind3_b100_m1_1.mp4,Sha_wind1_b100_m1_1.mp4,Cotton_wind2_b0.1_m1_1.mp4,2
10,Silk_wind3_b0.01_m0.7_1.mp4,Cotton_wind3_b0.01_m0.7_1.mp4,FeltGreen_wind2_b1_m0.7_1.mp4,5
11,FeltGreen_wind2_b0.01_m0.1_1.mp4,Bro_wind2_b0.01_m0.3_1.mp4,Silk_wind3_b100_m0.3_1.mp4,3
12,Sweater_wind1_b0.1_m1.7_1.mp4,Bro_wind2_b0.1_m1.3_1.mp4,Bro_wind1_b0.01_m0.3_1.mp4,8
13,Fleece_wind2_b100_m0.1_1.mp4,Sha_wind3_b100_m0.1_1.mp4,Fleece_wind1_b1_m0.1_1.mp4,5
14,Sweater_wind3_b0.1_m1_1.mp4,Bro_wind2_b0.1_m1.3_1.mp4,FeltGreen_wind3_b100_m1.3_1.mp4,5
15,Sha_wind1_b1_m1_1.mp4,Silk_wind2_b1_m1_1.mp4,Cotton_wind3_b0.01_m1_1.mp4,5
16,Bro_wind2_b1_m1.3_1.mp4,Cotton_wind1_b1_m0.5_1.mp4,Cotton_wind2_b0.001_m0.5_1.mp4,3
17,Sweater_wind3_b0.001_m1_1.mp4,Fleece_wind2_b0.001_m0.5_1.mp4,Bro_wind1_b0.1_m1.7_1.mp4,7
18,Silk_wind2_b0.1_m1.3_1.mp4,Fleece_wind1_b0.1_m1.3_1.mp4,Cotton_wind2_b100_m1.3_1.mp4,5
19,Silk_wind1_b10_m0.7_1.mp4,Cotton_wind1_b10_m0.7_1.mp4,Cotton_wind3_b0.001_m0.7_1.mp4,4
20,Sweater_wind2_b100_m1.3_1.mp4,Sweater_wind3_b100_m0.1_1.mp4,Sha_wind1_b0.001_m0.5_1.mp4,4
21,Cotton_wind2_b0.001_m1.3_1.mp4,Bro_wind2_b0.001_m0.1_1.mp4,Sha_wind1_b10_m1.7_1.mp4,5
22,Sweater_wind1_b10_m0.5_1.mp4,Bro_wind1_b10_m1_1.mp4,Sha_wind2_b0.01_m0.7_1.mp4,3
23,Cotton_wind1_b100_m1.3_1.mp4,Sha_wind1_b100_m1.3_1.mp4,Cotton_wind1_b10_m1.3_1.mp4,5
24,Fleece_wind3_b0.001_m0.1_1.mp4,Sweater_wind3_b0.001_m0.1_1.mp4,Fleece_wind3_b0.1_m0.1_1.mp4,5
25,Sha_wind3_b10_m1.7_1.mp4,Sweater_wind3_b10_m1.7_1.mp4,Cotton_wind2_b1_m1.7_1.mp4,5
26,Sweater_wind3_b0.1_m0.3_1.mp4,Fleece_wind2_b0.1_m0.3_1.mp4,Sha_wind2_b10_m0.3_1.mp4,7
27,Sweater_wind1_b1_m0.5_1.mp4,Fleece_wind2_b1_m0.5_1.mp4,Sha_wind3_b0.01_m0.5_1.mp4,5
28,Sha_wind3_b0.001_m1.3_1.mp4,FeltGreen_wind2_b0.001_m0.3_1.mp4,Fleece_wind2_b1_m1.3_1.mp4,8
29,Silk_wind3_b1_m0.7_1.mp4,FeltGreen_wind1_b1_m0.7_1.mp4,Silk_wind1_b100_m0.7_1.mp4,7
30,Bro_wind3_b0.01_m0.7_1.mp4,Cotton_wind2_b0.01_m0.7_1.mp4,Cotton_wind2_b1_m0.7_1.mp4,8
31,FeltGreen_wind3_b100_m0.5_1.mp4,Silk_wind1_b100_m0.7_1.mp4,Silk_wind2_b1_m1.3_1.mp4,7
32,Cotton_wind1_b0.1_m0.5_1.mp4,Fleece_wind2_b0.1_m0.7_1.mp4,Sha_wind2_b1_m0.5_1.mp4,5
33,Bro_wind2_b1_m1.7_1.mp4,Silk_wind1_b1_m1_1.mp4,Bro_wind2_b0.001_m0.3_1.mp4,3
34,Bro_wind3_b0.1_m0.5_1.mp4,Sha_wind1_b0.1_m0.5_1.mp4,Cotton_wind1_b100_m0.5_1.mp4,6
35,Bro_wind1_b0.01_m0.7_1.mp4,Bro_wind2_b0.01_m0.7_1.mp4,Bro_wind1_b1_m0.7_1.mp4,5
36,FeltGreen_wind2_b0.1_m0.3_1.mp4,Fleece_wind2_b0.1_m0.3_1.mp4,Cotton_wind2_b0.01_m0.3_1.mp4,5
37,Sha_wind1_b0.01_m0.7_1.mp4,Sweater_wind2_b0.01_m0.1_1.mp4,FeltGreen_wind2_b0.001_m0.1_1.mp4,7
38,Silk_wind2_b0.001_m1.7_1.mp4,Silk_wind2_b0.001_m0.7_1.mp4,Sha_wind1_b0.01_m0.5_1.mp4,1
39,Silk_wind1_b100_m0.5_1.mp4,Fleece_wind3_b100_m0.5_1.mp4,FeltGreen_wind1_b0.1_m0.5_1.mp4,2
40,Sha_wind2_b0.1_m1.7_1.mp4,Cotton_wind2_b0.1_m0.7_1.mp4,FeltGreen_wind1_b0.01_m1.7_1.mp4,7
41,Fleece_wind2_b0.01_m0.1_1.mp4,Cotton_wind1_b0.01_m1_1.mp4,Fleece_wind3_b1_m1_1.mp4,6
42,Silk_wind2_b1_m0.5_1.mp4,Fleece_wind3_b1_m0.7_1.mp4,FeltGreen_wind1_b100_m0.1_1.mp4,7
43,Bro_wind3_b100_m1.3_1.mp4,FeltGreen_wind3_b100_m1.3_1.mp4,Cotton_wind1_b10_m1.3_1.mp4,5
44,Sweater_wind2_b0.1_m0.7_1.mp4,Silk_wind2_b0.1_m0.7_1.mp4,Cotton_wind3_b100_m0.7_1.mp4,4
45,Cotton_wind2_b0.001_m0.5_1.mp4,Bro_wind1_b0.001_m0.5_1.mp4,Cotton_wind2_b0.01_m0.5_1.mp4,2
46,Cotton_wind2_b0.01_m1.3_1.mp4,Sha_wind2_b0.01_m1.3_1.mp4,Sha_wind2_b100_m1.3_1.mp4,4
47,Sha_wind1_b0.1_m0.3_1.mp4,Sha_wind2_b0.1_m0.7_1.mp4,Cotton_wind3_b100_m0.3_1.mp4,6
48,Fleece_wind3_b1_m1.7_1.mp4,Cotton_wind2_b1_m0.7_1.mp4,FeltGreen_wind3_b0.1_m0.7_1.mp4,6
49,Silk_wind3_b0.1_m1_1.mp4,Silk_wind3_b0.1_m1_1.mp4,Cotton_wind2_b0.01_m1_1.mp4,4
50,Fleece_wind3_b0.1_m0.7_1.mp4,Fleece_wind2_b0.1_m1.3_1.mp4,Bro_wind1_b100_m0.5_1.mp4,6
